timestamp,flow_id,src_ip,src_ip_v6,src_port,src_asn,src_country,src_reverse_dns,dst_ip,dst_port,protocol,pkts,bytes,duration_ms,ttl,tcp_seq,tcp_ack,tcp_window,tcp_flags,tls_issuer,tls_subject,cert_serial,cert_valid_from,cert_valid_to,http_method,http_url,http_headers,http_status,user_agent,dns_query,dns_response,smb_action,ssh_user,ssh_result,rdp_user,rdp_result,yara_matches,file_hash,payload_snippet_base64,extracted_iocs,signature_id,attack_type,session_id,label,hop_count,geo_lat,geo_lon,device_fingerprint,process,user,reverse_dns_dst,pcap_reference
2025-09-20T00:00:29.118,911e01baeb81,192.168.39.218,,20694,,,,10.10.50.19,80,DNS,1,1047,176,117,4294719790,3572546458,2608,,,,,,,POST,/login,"{""User-Agent"": ""WinHTTP/1.0"", ""Accept"": ""text/html""}",,Masscan/1.0,www.example.com,A:192.0.2.58,,,,,,,,,"{""domains"": [], ""emails"": [], ""ips"": [], ""files"": []}",,,BEN-572663,benign,10,,,"{""os"": ""macOS"", ""browser"": ""Chrome"", ""version"": ""98.0""}",wget,user,host-10-10-50-19.honeypot.local,ab0824ca9fe7
2025-09-20T00:07:46.704,6754741df402,172.16.69.16,,52215,,,,10.10.50.19,443,UDP,27,13365,17,96,1405295445,3604004208,60382,PA,,,,,,,/images,"{""User-Agent"": ""Nmap/7.80"", ""Accept"": ""text/html""}",500,python-requests/2.31.0,,,,,,,,,,,"{""domains"": [], ""emails"": [], ""ips"": [], ""files"": []}",,,BEN-149613,benign,9,,,"{""os"": ""Linux"", ""browser"": ""Safari"", ""version"": ""34.0""}",chrome,www-data,host-10-10-50-19.honeypot.local,89d806149f43
2025-09-20T00:16:46.143,4ca9d0adeb74,192.168.116.45,,29887,,,,10.10.50.55,25,ICMP,5,5160,137,68,2536203353,2625185346,33302,,,,,,,,/,"{""User-Agent"": ""Nmap/7.80"", ""Accept"": ""text/html""}",500,curl/7.68.0,,,,,,,,,,,"{""domains"": [], ""emails"": [], ""ips"": [], ""files"": []}",,,BEN-726077,benign,8,,,"{""os"": ""Linux"", ""browser"": ""Safari"", ""version"": ""48.0""}",ssh,service,host-10-10-50-55.honeypot.local,cc2e992d6603
2025-09-20T00:18:44.105,8206b81f741e,117.219.197.5,,19425,AS30745,CN,host-117-219-197-5.attacker.example,10.10.50.11,161,UDP,225,12375,5433,29,3061553281,134604535,31107,S,,,,,,,,,,,,,,,,,,,,,"{""domains"": [], ""emails"": [], ""ips"": [], ""files"": []}",SIG_SCAN_TCP_SYN,port_scan,ATTK-000001,attack,15,69.360421,-65.553905,"{""os"": ""FreeBSD"", ""browser"": ""Firefox"", ""version"": ""29.0""}",curl,www-data,host-10-10-50-11.honeypot.local,cafa8cb6d953
2025-09-20T00:20:22.387,8d137da31cb0,172.16.54.250,,42293,,,,10.10.50.16,3306,UDP,32,20832,297,105,3069538071,2892410505,19793,PA,,,,,,POST,/,"{""User-Agent"": ""Masscan/1.0"", ""Accept"": ""text/html""}",404,Mozilla/5.0 (Macintosh),,,,,,,,,,,"{""domains"": [], ""emails"": [], ""ips"": [], ""files"": []}",,,BEN-317347,benign,3,,,"{""os"": ""Linux"", ""browser"": ""Chrome"", ""version"": ""35.0""}",ssh,www-data,host-10-10-50-16.honeypot.local,0028273ac34e
2025-09-20T00:21:21.959,1078e7d43740,10.0.191.184,,10161,,,,10.10.50.49,80,UDP,41,56785,303,100,142390168,2275397708,27665,PA,,,,,,,/status,"{""User-Agent"": ""WinHTTP/1.0"", ""Accept"": ""text/html""}",500,Nmap/7.80,,,,,,,,,,,"{""domains"": [], ""emails"": [], ""ips"": [], ""files"": []}",,,BEN-115688,benign,2,,,"{""os"": ""macOS"", ""browser"": ""Firefox"", ""version"": ""52.0""}",ssh,www-data,host-10-10-50-49.honeypot.local,e7bc06b922dd
2025-09-20T00:24:56.179,68ad2041a266,192.168.126.227,,15369,,,,10.10.50.25,8080,TLS,56,3360,143,96,4094858692,3412499150,15996,PA,,,,,,,/api,"{""User-Agent"": ""Masscan/1.0"", ""Accept"": ""text/html""}",500,Masscan/1.0,,,,,,,,,,,"{""domains"": [], ""emails"": [], ""ips"": [], ""files"": []}",,,BEN-511881,benign,7,,,"{""os"": ""Windows"", ""browser"": ""Safari"", ""version"": ""6.0""}",ssh,user,host-10-10-50-25.honeypot.local,93393142fbf9
2025-09-20T00:27:11.877,d5b1ceddcbe0,172.16.84.193,,36995,,,,10.10.50.28,22,HTTP,54,52056,129,90,1190671326,4287037902,30588,A,,,,,,GET,/api,"{""User-Agent"": ""WinHTTP/1.0"", ""Accept"": ""text/html""}",,sqlmap/1.6,,,,,,,,,,,"{""domains"": [], ""emails"": [], ""ips"": [], ""files"": []}",,,BEN-421452,benign,10,,,"{""os"": ""macOS"", ""browser"": ""Safari"", ""version"": ""25.0""}",firefox,www-data,host-10-10-50-28.honeypot.local,b6a4db9ede8f
2025-09-20T00:38:18.053,ef5350d9c130,192.168.79.228,,22698,,,,10.10.50.10,8080,ICMP,76,61256,286,99,1376112318,1138467989,20693,A,,,,,,,/api,"{""User-Agent"": ""WinHTTP/1.0"", ""Accept"": ""text/html""}",301,WinHTTP/1.0,,,,,,,,,,,"{""domains"": [], ""emails"": [], ""ips"": [], ""files"": []}",,,BEN-802314,benign,1,,,"{""os"": ""Linux"", ""browser"": ""Chrome"", ""version"": ""58.0""}",firefox,service,host-10-10-50-10.honeypot.local,472f566ce051
2025-09-20T00:43:40.927,a90184b0e539,50.187.63.203,,49580,AS65904,SG,host-50-187-63-203.attacker.example,10.10.50.19,80,HTTP,1065,388725,2565,108,1475508686,2451162542,13071,P,DigiCert,www.example.com,4d852e01196f81da,2025-08-28,2026-06-12,POST,/api/v1/item,"{""User-Agent"": ""curl/7.68.0"", ""Accept"": ""*/*""}",,curl/7.68.0,,,,,,,,,,SQLi payload fragment: ' OR '1'='1' --,"{""domains"": [""steal-data.org""], ""emails"": [], ""ips"": [], ""files"": []}",SIG_HTTP_SQLI,http_sqli,ATTK-000002,attack,57,48.459896,-87.241082,"{""os"": ""Linux"", ""browser"": ""None"", ""version"": ""72.0""}",curl,root,host-10-10-50-19.honeypot.local,d4e9cb0fe342
2025-09-20T00:45:42.396,29798c57bd1f,142.195.120.151,,60223,AS64624,DE,host-142-195-120-151.attacker.example,10.10.50.45,8080,HTTP,951,511638,2587,20,1507484656,1685136568,44147,,,,,,,POST,/upload,,,Mozilla/5.0,,,,,,,,EXFIL_PATTERN,975747303ced1a943567,U0VDUkVUX0RBVEFfMTA=,"{""domains"": [""bad.example""], ""emails"": [], ""ips"": [], ""files"": [""975747303ced1a943567""]}",SIG_EXFIL_HTTP,exfil_http,ATTK-000003,attack,6,56.10625,-152.218375,"{""os"": ""FreeBSD"", ""browser"": ""Firefox"", ""version"": ""51.0""}",exploit,admin,host-10-10-50-45.honeypot.local,b9712a3c6ef6
2025-09-20T00:51:05.345,4aaf428113cf,192.168.70.148,,24855,,,,10.10.50.29,22,UDP,36,4716,7,123,933462802,3934294974,2477,PA,,,,,,,/status,"{""User-Agent"": ""Masscan/1.0"", ""Accept"": ""text/html""}",404,Mozilla/5.0 (Windows NT 10.0; Win64; x64),,,,,,,,,,,"{""domains"": [], ""emails"": [], ""ips"": [], ""files"": []}",,,BEN-578119,benign,7,,,"{""os"": ""Windows"", ""browser"": ""Safari"", ""version"": ""25.0""}",chrome,www-data,host-10-10-50-29.honeypot.local,8b918594a0f5
2025-09-20T00:51:13.868,ab0ea3f131f8,192.168.174.36,,28440,,,,10.10.50.38,53,UDP,54,54648,449,85,281314290,3301551344,57343,A,,,,,,GET,/status,"{""User-Agent"": ""sqlmap/1.6"", ""Accept"": ""text/html""}",500,Mozilla/5.0 (Windows NT 10.0; Win64; x64),,,,,,,,,,,"{""domains"": [], ""emails"": [], ""ips"": [], ""files"": []}",,,BEN-542761,benign,2,,,"{""os"": ""Linux"", ""browser"": ""Chrome"", ""version"": ""84.0""}",chrome,service,host-10-10-50-38.honeypot.local,e7cfd98f0a26
2025-09-20T00:56:07.332,f9e292c41db3,172.16.152.14,,16301,,,,172.16.171.17,80,TLS,57,34884,102,48,651752517,1647877002,22622,PA,,,,,,POST,/status,"{""User-Agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64)"", ""Accept"": ""text/html""}",301,python-requests/2.31.0,,,,,,,,,,,"{""domains"": [], ""emails"": [], ""ips"": [], ""files"": []}",,,BEN-154893,benign,4,,,"{""os"": ""Linux"", ""browser"": ""Chrome"", ""version"": ""43.0""}",wget,user,host-172-16-171-17.honeypot.local,80ddbb75de63
2025-09-20T00:56:07.967,b2dee336bf71,10.0.108.202,,9611,,,,10.10.50.35,53,UDP,95,61085,56,40,1298084788,1234648525,39836,A,,,,,,GET,/images,"{""User-Agent"": ""WinHTTP/1.0"", ""Accept"": ""text/html""}",500,curl/7.68.0,,,,,,,,,,,"{""domains"": [], ""emails"": [], ""ips"": [], ""files"": []}",,,BEN-562978,benign,1,,,"{""os"": ""Linux"", ""browser"": ""Safari"", ""version"": ""94.0""}",firefox,user,host-10-10-50-35.honeypot.local,a18e4686ff22
2025-09-20T00:57:17.258,f02e6b55709f,201.210.35.25,,13675,AS19553,SG,host-201-210-35-25.attacker.example,10.10.50.11,80,HTTP,228,173964,996,39,1585857674,3149873384,11012,P,,,,,,GET,/search?id=' OR '1'='1' --,"{""User-Agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64)"", ""Accept"": ""*/*""}",,Mozilla/5.0 (Windows NT 10.0; Win64; x64),,,,,,,,,,SQLi payload fragment: ' OR '1'='1' --,"{""domains"": [""exfil.example""], ""emails"": [], ""ips"": [], ""files"": []}",SIG_HTTP_SQLI,http_sqli,ATTK-000004,attack,37,28.218089,-50.46124,"{""os"": ""Android"", ""browser"": ""None"", ""version"": ""5.0""}",nmap,admin,host-10-10-50-11.honeypot.local,789255c826d1
2025-09-20T01:00:26.049,e22bece1a9da,118.235.8.193,,28071,AS26412,DE,host-118-235-8-193.attacker.example,10.10.50.29,21,TCP,338,174746,3222,67,1194650967,1850433077,36285,S,,,,,,,,,,,,,,,,,,,,periodic beacon to C2,"{""domains"": [], ""emails"": [], ""ips"": [""200.100.142.126""], ""files"": []}",SIG_MALWARE_BEACON,beacon,ATTK-000005,attack,49,10.973257,38.724551,"{""os"": ""FreeBSD"", ""browser"": ""Firefox"", ""version"": ""24.0""}",powershell.exe,root,host-10-10-50-29.honeypot.local,5569b365163f
