timestamp,src_ip,src_port,dst_ip,dst_port,protocol,bytes,tcp_flags,signature_id,signature_desc,payload_trace,http_method,url,http_headers,user_agent,tls_version,sni,dns_query,dns_response,smb_share,smb_action,ssh_user,ssh_result,rdp_user,rdp_result,file_hash,yara_matches,session_id,event_type,label,hop_count,src_asn,src_country
2025-10-01T00:05:57,192.168.41.149,23505,192.168.100.21,123,HTTP,1056,A,,,,GET,/admin,"{""User-Agent"": ""Mozilla/5.0"", ""Accept"": ""text/html""}",python-requests/2.31.0,TLS1.3,example.com,,,,,,,,,,,ben-83273,benign,benign,7,,
2025-10-01T00:07:38,192.168.74.213,62904,192.168.100.18,80,UDP,1976,P,,,,GET,,"{""User-Agent"": ""python-requests/2.31.0"", ""Accept"": ""text/html""}",sqlmap/1.6,,,,,,,,,,,,,ben-52558,benign,benign,4,,
2025-10-01T00:08:55,10.0.46.136,63203,192.168.100.28,8080,UDP,1098,,,,,POST,/index.php,"{""User-Agent"": ""Masscan/1.0"", ""Accept"": ""text/html""}",sqlmap/1.6,TLS1.2,example.com,,,,,,,,,,,ben-26166,benign,benign,1,,
2025-10-01T00:12:56,172.16.3.12,36538,192.168.100.25,123,TCP,1213,A,,,,POST,/images,"{""User-Agent"": ""curl/7.68.0"", ""Accept"": ""text/html""}",Masscan/1.0,,,,,,,,,,,,,ben-70739,benign,benign,9,,
2025-10-01T00:19:17,192.168.16.37,48855,192.168.100.28,25,TCP,51,P,,,,GET,/login,"{""User-Agent"": ""sqlmap/1.6"", ""Accept"": ""text/html""}",sqlmap/1.6,TLS1.3,cdn.example.com,,,,,,,,,,,ben-65702,benign,benign,1,,
2025-10-01T00:22:02,172.16.3.12,35415,192.168.100.16,22,TCP,1380,A,,,,,/index.php,,curl/7.68.0,TLS1.3,example.com,,,,,,,,,,,ben-47020,benign,benign,9,,
2025-10-01T00:41:48,14.73.109.75,42671,192.168.100.29,80,TCP,903,P,SIG_RDP_BRUTE,RDP auth failure sequence,RDP auth failure sequence -- periodic beacon to C2,,,,python-requests/2.31.0,,,,,,,,,,,bd7ebbb3529ed39c8949b3e76428a447b9a2b197,BEACON_SIG,attk-00001,scan,attack,17,AS75712,IN
2025-10-01T00:47:34,10.0.55.116,13768,192.168.100.14,53,DNS,353,A,,,,GET,/,"{""User-Agent"": ""curl/7.68.0"", ""Accept"": ""text/html""}",curl/7.68.0,TLS1.2,example.com,api.service.local,A:192.0.2.168,,,,,,,,,ben-52194,benign,benign,9,,
2025-10-01T00:50:51,215.168.42.149,20959,192.168.100.23,22,SSH,175,A,SIG_SSH_BRUTE,Multiple failed SSH auth attempts,ssh auth failure sequence,,,,python-requests/2.31.0,,,,,,,ubuntu,failed,,,,,attk-00002,scan,attack,13,AS99128,BR
2025-10-01T00:53:20,10.0.41.71,37755,192.168.100.17,3306,DNS,1748,A,,,,POST,/login,"{""User-Agent"": ""python-requests/2.31.0"", ""Accept"": ""text/html""}",Mozilla/5.0,TLS1.3,example.com,www.example.com,A:192.0.2.32,,,,,,,,,ben-70306,benign,benign,6,,
2025-10-01T00:55:26,172.16.11.55,15007,192.168.100.21,25,UDP,910,P,,,,GET,/login,"{""User-Agent"": ""Masscan/1.0"", ""Accept"": ""text/html""}",Mozilla/5.0,,,,,,,,,,,,,ben-52580,benign,benign,2,,
2025-10-01T01:01:58,172.16.33.134,10236,192.168.100.23,123,HTTP,605,A,,,,GET,/login,"{""User-Agent"": ""sqlmap/1.6"", ""Accept"": ""text/html""}",Mozilla/5.0,TLS1.2,cdn.example.com,,,,,,,,,,,ben-66387,benign,benign,4,,
2025-10-01T01:04:51,10.0.18.51,9827,192.168.100.13,443,DNS,789,,,,,GET,/images,"{""User-Agent"": ""python-requests/2.31.0"", ""Accept"": ""text/html""}",curl/7.68.0,,,www.example.com,A:192.0.2.111,,,,,,,,,ben-54755,benign,benign,3,,
2025-10-01T01:05:09,14.103.179.102,23670,192.168.100.19,80,HTTP,2075,P,SIG_CMD_INJECT,Command injection in HTTP payload,Command injection in HTTP payload || payload: ' OR '1'='1' --,GET,/?id=' OR '1'='1' --,"{""User-Agent"": ""Masscan/1.0"", ""Accept"": ""*/*"", ""Referer"": ""http://mal.example""}",Mozilla/5.0,,,,,,,,,,,,,attk-00003,brute_force,attack,5,AS38757,DE
2025-10-01T01:07:42,14.103.179.102,18277,192.168.100.29,53,DNS,1956,,SIG_DNS_TUNNEL,DNS tunneling pattern detected,DNS tunneling pattern detected,,,,,,,exfil.fa35e192121eabf3dabf9f5ea6abdbcbc107ac3b.example.com,A:1.2.3.4,,,,,,,,DNS_TUNNEL,attk-00004,exploit_attempt,attack,31,AS83062,RU
2025-10-01T01:14:24,172.16.28.177,46259,192.168.100.19,25,UDP,880,A,,,,POST,/index.php,"{""User-Agent"": ""Mozilla/5.0"", ""Accept"": ""text/html""}",Nmap/7.80,TLS1.3,example.com,,,,,,,,,,,ben-89955,benign,benign,6,,
2025-10-01T01:15:24,172.16.66.199,42633,192.168.100.27,3306,HTTP,1379,,,,,GET,/search,"{""User-Agent"": ""curl/7.68.0"", ""Accept"": ""text/html""}",Nmap/7.80,TLS1.3,cdn.example.com,,,,,,,,,,,ben-95653,benign,benign,9,,
2025-10-01T01:16:22,192.168.76.91,52148,192.168.100.18,53,TCP,1509,A,,,,POST,/api/data,"{""User-Agent"": ""Mozilla/5.0"", ""Accept"": ""text/html""}",curl/7.68.0,,,,,,,,,,,,,ben-89258,benign,benign,2,,
2025-10-01T01:20:09,192.168.0.196,9549,192.168.100.11,25,UDP,810,P,,,,POST,/login,"{""User-Agent"": ""Masscan/1.0"", ""Accept"": ""text/html""}",sqlmap/1.6,,,,,,,,,,,,,ben-82576,benign,benign,2,,
2025-10-01T01:23:57,192.168.67.120,63725,172.16.36.186,123,UDP,1749,A,,,,GET,/login,"{""User-Agent"": ""Mozilla/5.0"", ""Accept"": ""text/html""}",Masscan/1.0,TLS1.3,cdn.example.com,,,,,,,,,,,ben-57024,benign,benign,3,,
2025-10-01T01:28:59,192.168.40.91,61039,192.168.100.23,8080,HTTP,1256,A,,,,POST,/api/data,"{""User-Agent"": ""Mozilla/5.0"", ""Accept"": ""text/html""}",curl/7.68.0,,,,,,,,,,,,,ben-65220,benign,benign,3,,
2025-10-01T01:38:27,192.168.34.207,18464,192.168.100.10,3306,TCP,540,,,,,GET,/index.php,"{""User-Agent"": ""Nmap/7.80"", ""Accept"": ""text/html""}",curl/7.68.0,,,,,,,,,,,,,ben-50816,benign,benign,10,,
2025-10-01T01:44:54,10.0.20.77,58710,192.168.100.14,22,UDP,261,A,,,,POST,/search,"{""User-Agent"": ""python-requests/2.31.0"", ""Accept"": ""text/html""}",Mozilla/5.0,,,,,,,,,,,,,ben-30179,benign,benign,3,,
